Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
2021-03-07,KY,410709,286431,26883,0,3680,833,374,16253,0,76255,17452,300330,92927,4819,3981,371,0,23,4,2,118,0,320,73,4219,527,0,0,0,0,0,0,0,0,0,0,0,0,0,3975672,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,LA,433785,218332,136460,0,16684,1527,492,0,34552,25738,0,0,433785,9748,5798,3723,0,75,15,13,0,39,85,238,8966,544,0,0,0,0,0,0,0,0,0,0,0,0,0,5695464,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MA,591356,219467,35342,125873,16039,504,156,0,47605,146370,125873,319113,146370,16417,12022,1069,1289,414,11,5,0,1373,234,1289,14894,234,19713,10414,1900,3041,709,10,7,0,1957,1675,3041,14997,1675,16825551,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MD,387319,134697,112033,62261,8867,0,0,0,18321,51140,62261,273918,51140,7955,4078,2736,727,277,0,0,0,80,57,727,7171,57,0,0,0,0,0,0,0,0,0,0,0,0,0,8097590,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ME,45794,36271,2252,0,502,139,26,178,907,5519,695,31103,13996,706,602,10,0,3,5,0,1,6,79,6,491,209,1570,1359,63,0,22,7,0,3,30,86,22,1354,194,1660180,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MI,656072,378135,74321,0,10362,3596,0,25954,35465,128239,33855,421946,200271,16658,11205,3634,0,179,79,0,270,425,866,480,13206,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,10621967,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MN,490011,327714,39044,43792,21470,4634,556,8424,6470,37907,43792,408312,37907,6550,5440,319,203,259,90,6,101,23,109,203,6238,109,25978,16798,3007,2202,1470,457,31,665,237,1111,2202,22665,1111,7111428,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MO,480643,252254,42276,0,4317,942,22,108,63952,116772,17167,259531,203945,8161,5162,1069,0,67,12,1,0,1295,555,170,6395,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,4565866,1781880,355094,0,44514,6838,40,192,1602892,774416,81100,2166194,2318572
2021-03-07,MP,145,0,0,0,0,0,0,0,0,145,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MS,297581,140893,97848,6525,1415,2215,0,0,10036,38649,6525,202316,88740,6808,3670,2671,60,18,114,0,0,103,172,60,5599,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,1756955,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,MT,100914,63627,460,0,342,8156,114,0,6782,21433,2323,62230,36361,1381,856,1,0,1,205,1,0,121,196,25,905,451,4630,2233,23,0,0,453,0,0,0,1921,0,0,0,1104488,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,NC,872176,442322,146993,0,13620,11199,0,0,98470,159572,118914,441831,311431,11502,7160,2662,0,120,126,0,0,716,718,803,8916,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,9688838,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,ND,100391,55720,2881,0,1317,4376,0,1377,28,34692,0,0,100391,1478,0,0,0,0,0,0,0,0,1478,0,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,1425146,0,0,0,0,0,0,0,0,0,0,0,0
